sample_no,q10_1en,ノイズフラグ,ノイズ理由
4694,Agoda,,
4507,Airbnb,,
4942,Airbnb,,
4511,Airbnb,,
4877,Bing,,
4547,Bing,,
4673,Bing,,
4620,Bing,,
4625,bing.com,,
4576,Booking site,,
4613,Booking.com,,
1427,Booking.com,,
4742,Booking.com,,
4740,Booking.com,,
4491,booking.com,,
4949,Booking.com,,
4901,Booking.com,,
3507,ChatGPT,,
4194,cint test,無意味な文字列,testという単語が含まれている
3967,"Consulted local guides, travel websites, and Google Maps for advice.",,
998,dcard,,
2542,Dcard,,
992,"Dcard, Google",,
4474,Discuss with my partner.,,
4754,"During my travels, the resources I refer to the most are the experiences shared with me by my family and friends.",,
4755,"During travels, the specialized information from travel websites is the reference I use the most.",,
4505,Expedia,,
4904,Expedia,,
4733,Expedia,,
4675,Expedia,,
4815,Expedia,,
4902,Expedia,,
4898,Expedia,,
4936,FACEBOOK,,
4905,FACEBOOK,,
1007,Facebook,,
3014,Facebook,,
4893,Facebook,,
4617,Facebook,,
4685,Facebook,,
4931,FACEBOOK,,
4884,Facebook,,
4626,Facebook,,
4772,Facebook,,
4923,Facebook,,
4676,facebook,,
4674,Facebook,,
4698,Facebook,,
4910,Facebook,,
4889,Facebook,,
4916,FACEBOOK,,
4875,Facebook,,
1977,Facebook,,
4878,Facebook,,
4911,Facebook,,
4890,Facebook,,
4757,Facebook,,
4696,"Facebook, Instagram",,
2319,Information searched on Facebook,,
3398,Social media such as Facebook and X,,
3416,Family member,,
3241,Fb,,
4708,Fodor’s Travel,,
4710,Fodor’s Travel,,
4718,Fodor’s Travel,,
4721,Fodor’s Travel,,
3969,"For suggestions I turned to the web, hotel workers, and apps.",,
3336,friend,,
3711,Friend and former student,,
4397,Friend who lives in Tokyo,,
4899,Friends,,
4903,Friends,,
741,general google searches and tripadvisor,,
4736,GetYourGuide,,
2704,good,極端に短い/情報量ゼロ,「good」のみで情報量が不足している
4870,Good refer,極端に短い/情報量ゼロ,「Good refer」のみで情報量が不足している
2251,googel map,,
2229,google,,
1175,Google,,
4828,Google,,
3129,Google,,
4863,google,,
4881,Google,,
97,GOOGLE,,
4797,Google,,
4799,Google,,
1614,Google,,
4978,Google,,
4887,Google,,
3581,Google,,
4924,google,,
1157,Google,,
3020,google,,
4798,Google,,
4627,Google,,
4635,google,,
4681,Google,,
4623,Google,,
4689,Google,,
2515,GOOGLE,,
4814,Google,,
4906,google,,
4509,google,,
4892,Google,,
4730,Google,,
4557,Google,,
3130,Google,,
4886,Google,,
3926,Google,,
4562,Google,,
2964,google,,
923,google,,
2803,google,,
1733,Google,,
1247,google,,
1774,Google,,
4352,Google and YouTube search,,
2489,Google map,,
129,google map,,
190,Google map,,
3111,Google map,,
2481,Google map,,
2712,google map,,
2658,google map seacher,,
1390,Google map seacher,,
4879,Google Maps,,
4986,Google Maps,,
4732,Google Maps,,
4492,Google Maps,,
4919,Google Maps,,
3088,Google search,,
848,google search,,
556,Blogs about Google,,
1768,Google Search,,
4600,"Google, Viator, Instagram",,
4744,"Google,Facebook",,
1181,Google: Blogger Youtube: Drunk Japan and so on Introducing information about specific Japan that is related to the destination I am about to visit,,
1159,Google & Translate software,,
1870,"Google sources, consult some relevant locations",,
1290,Google Maps,,
3601,Google Maps,,
29,"Google Maps, Agoda, trivago",,
2779,Google Maps to find a restaurant,,
2371,Google Ratings/IG,,
2633,Google search,,
3722,Google search,,
1776,Google search,,
3358,HOW TO GET TO ANOTHER TERMINAL,設問と無関係,旅行期間中に参考にした情報源について回答しておらず、移動方法に関する内容である
3795,I am constantly lookign things up on my phone. Google search is always the starting point. I dont recall what websites I went to from results of those searches. It would have been 5 or more every day.,,
4766,I had a friend who visited before me,,
4758,I learned about the local area through social media and also searched on Google during the process.,,
4761,I learned about the places I want to visit and the interesting scenic spots through my friends.,,
4855,I love Japan very well,極端に短い/情報量ゼロ,旅行期間中に参考にした情報源について回答がなく、個人的な感想のみである
4760,"I most frequently use Google Search to obtain information about the travel destinations I want to know, as well as the locations of delicious foods.",,
4750,I mostly referred to my friend who had been to the destination before. He gave me a lot of practical tips,,
4915,I mostly referred to my friend who had lived in the destination for years. He gave me many insider tips on the best local food and hidden - gem spots.,,
4743,I referred to the TripAdvisor website most during my trip. It provided useful reviews about hotels and attractions,,
3935,"I relied on blogs, tourism sites, and recommendations from locals.",,
3936,"I used travel apps, local recommendations, and guidebooks.",,
4929,I will use travel guide apps and also ask the locals.,,
4765,Instagram,,
4691,Instagram,,
4699,Instagram,,
4895,Instagram,,
4662,Instagram,,
4773,Instagram,,
4882,Instagram,,
2463,"Travel tips or experiences for Instagram, Xiaohongshu, and YouTube",,
4707,"Instagram, X, Tiktok",,
3785,"instagram, youtube",,
966,instgram,,
4862,It amazing and fantastic and amazing app for making money and easy use to use and easy,設問と無関係,旅行情報源に関する回答ではなく、アプリの機能や収益性に関する内容である
1054,It was just online apps for Japan or travel Japan sites,,
3621,It’s very good and perfect,極端に短い/情報量ゼロ,「It’s very good and perfect」のみで情報量が不足している
4014,It's a great idea and I love it too,極端に短い/情報量ゼロ,「It's a great idea and I love it too」のみで情報量が不足している
4944,It's usually just food related.,,
4990,It's very good in production and management,設問と無関係,旅行情報源に関する回答ではなく、製品の生産性や管理に関する内容である
4644,Jalan,,
