sample_no,q10_1en,ノイズフラグ,ノイズ理由
4694,Agoda,該当なし,
4507,Airbnb,該当なし,
4942,Airbnb,該当なし,
4511,Airbnb,該当なし,
4877,Bing,該当なし,
4547,Bing,該当なし,
4673,Bing,該当なし,
4620,Bing,該当なし,
4625,bing.com,該当なし,
4576,Booking site,該当なし,
4613,Booking.com,該当なし,
1427,Booking.com,該当なし,
4742,Booking.com,該当なし,
4740,Booking.com,該当なし,
4491,booking.com,該当なし,
4949,Booking.com,該当なし,
4901,Booking.com,該当なし,
3507,ChatGPT,設問と無関係,ChatGPTは情報源として一般的だが、設問は特定の旅行情報源を求めているため、直接的な情報源名（例：ウェブサイト名、ガイドブック名）の提示を期待している。
4194,cint test,テスト入力,
3967,"Consulted local guides, travel websites, and Google Maps for advice.",該当なし,
998,dcard,該当なし,
2542,Dcard,該当なし,
992,Dcard, Google,該当なし,
4474,Discuss with my partner.,極端に短い/情報量ゼロ,具体的にどの情報源を参照したかが不明瞭。
4754,"During my travels, the resources I refer to the most are the experiences shared with me by my family and friends.",該当なし,
4755,"During travels, the specialized information from travel websites is the reference I use the most.",該当なし,
4505,Expedia,該当なし,
4904,Expedia,該当なし,
4733,Expedia,該当なし,
4675,Expedia,該当なし,
4815,Expedia,該当なし,
4902,Expedia,該当なし,
4898,Expedia,該当なし,
4936,FACEBOOK,該当なし,
4905,FACEBOOK,該当なし,
1007,Facebook,該当なし,
3014,Facebook,該当なし,
4893,Facebook,該当なし,
4617,Facebook,該当なし,
4685,Facebook,該当なし,
4931,FACEBOOK,該当なし,
4884,Facebook,該当なし,
4626,Facebook,該当なし,
4772,Facebook,該当なし,
4923,Facebook,該当なし,
4676,facebook,該当なし,
4674,Facebook,該当なし,
4698,Facebook,該当なし,
4910,Facebook,該当なし,
4889,Facebook,該当なし,
4916,FACEBOOK,該当なし,
4875,Facebook,該当なし,
1977,Facebook,該当なし,
4878,Facebook,該当なし,
4911,Facebook,該当なし,
4890,Facebook,該当なし,
4757,Facebook,該当なし,
4696,"Facebook, Instagram",該当なし,
2319,Information searched on Facebook,該当なし,
3398,Social media such as Facebook and X,該当なし,
3416,Family member,該当なし,
3241,Fb,該当なし,
